case_order,customer_id,interaction,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment_type,income,marital_type,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening
1,K409198,aa90260b-4141-4a24-8e36-b04ce1f4f77b,Point Baker,AK,Prince of Wales-Hyder,99927,56.251,-133.37571,38,Urban,US/Alaska,Environmental health practitioner,0.0,68,18,Part Time,28561,Widowed,M,No,7.0,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Autopay,6,171.45,904,5,5,5,3,4,4,3,4
2,S120509,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,West Branch,MI,Ogemaw,48661,44.32893,-84.2408,10446,Urban,US/Eastern,"Programmer, multimedia",1.0,27,12,Retired,21704,Married,F,Yes,12.0,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,1,242.95,800,3,4,3,3,4,3,4,4
3,K191035,344d114c-3736-4be5-98f7-c72c281e2d35,Yamhill,OR,Yamhill,97148,45.35589,-123.24657,3735,Urban,US/Pacific,Chief Financial Officer,4.0,50,12,Student,33187,Widowed,F,No,10.0,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Autopay,15,159.44,2054,4,4,2,4,4,3,3,3
4,D90850,abfa2b40-2d43-4994-b15a-989b8c79e311,Del Mar,CA,San Diego,92014,32.96687,-117.24798,13863,Suburban,US/Pacific,Solicitor,1.0,48,20,Retired,18925,Married,M,No,15.0,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Check,17,120.25,2164,4,4,4,2,5,4,3,3
5,K662701,68a861fd-0d20-4e51-a587-8a90407ee574,Needville,TX,Fort Bend,77461,29.38012,-95.80673,11352,Suburban,US/Central,Medical illustrator,0.0,83,18,Student,40074,Separated,M,Yes,9.0,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Check,1,150.76,271,4,4,4,3,4,4,4,5
6,W303516,2b451d12-6c2b-4cea-a295-ba1d6bced078,Fort Valley,GA,Peach,31030,32.57032,-83.8904,17701,Urban,US/Eastern,Chief Technology Officer,3.0,83,0,Full Time,33187,Single,F,No,8.0,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,eCheck,7,184.4,1039,3,3,3,2,4,3,3,3
7,U335188,6630d501-838c-4be4-a59c-6f58c814ed6a,Pioneer,TN,Scott,37847,36.4342,-84.27892,2535,Suburban,US/Eastern,"Surveyor, hydrographic",0.0,53,14,Full Time,11467,Widowed,M,Yes,11.0,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,13,200.06,1907,6,5,6,4,1,5,5,5
8,V538685,70ddaa89-b726-49dc-9022-2d655e4c7936,Oklahoma City,OK,Oklahoma,73109,35.43313,-97.52463,23144,Suburban,US/Central,Sales promotion account executive,2.0,53,16,Full Time,26759,Married,F,Yes,8.0,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Check,36,114.75,979,2,2,2,5,2,3,4,5
9,M716771,05a49ee3-8fd5-453a-a5f3-82b6cd986856,Saint Cloud,FL,Osceola,34771,28.27646,-81.16273,17351,Suburban,US/Eastern,Teaching laboratory technician,2.0,49,12,Full Time,58634,Separated,Prefer not to answer,No,7.0,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Autopay,8,118.37,1312,5,4,4,3,4,3,4,4
10,I676080,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,Cincinnati,OH,Hamilton,45237,39.19296,-84.4523,20193,Rural,US/Eastern,Museum education officer,0.0,86,12,Full Time,50231,Married,F,No,9.0,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,3,163.01,508,2,2,2,2,5,2,3,3
11,J980369,89490f4b-765f-431a-b302-580aae7db71a,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555,Urban,US/Eastern,"Teacher, special educational needs",7.0,23,12,Full Time,33187,Separated,F,No,12.0,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Check,19,177.45,2728,4,4,4,7,3,3,3,4
12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,00783,18.3041,-66.32847,33372,Rural,US/Atlantic,Maintenance engineer,2.0,56,16,Full Time,18342,Married,F,No,5.0,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,eCheck,36,148.36,1180,4,4,3,4,4,4,3,4
13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,US/Central,"Engineer, broadcasting (operations)",0.0,83,18,Retired,83671,Divorced,M,No,7.0,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,13,136.43,1196,1,2,1,4,3,2,3,3
14,X44200,780992d3-d758-4152-aceb-5d59edda3d15,East Livermore,ME,Androscoggin,04228,44.43256,-70.11501,0,Urban,US/Eastern,Learning disability nurse,5.0,53,0,Retired,115114,Separated,F,No,7.0,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Autopay,16,185.66,1948,5,6,5,2,4,5,4,4
15,H68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,Hillside,IL,Cook,60162,41.86752,-87.90222,8165,Urban,US/Central,Automotive engineer,0.0,30,14,Full Time,64256,Separated,M,Yes,13.0,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Autopay,10,160.81,3382,3,3,4,2,3,4,4,2
16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093,Suburban,US/Central,Amenity horticulturist,0.0,39,16,Full Time,89061,Divorced,M,Yes,9.0,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,eCheck,13,176.33,1840,3,3,3,2,4,3,5,2
17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079,Urban,US/Pacific,Applications developer,0.0,63,12,Retired,31659,Married,F,Yes,14.0,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,15,195.87,2070,3,4,4,3,5,4,4,3
18,F721878,5c3548de-4744-4167-9412-3f018262bab2,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249,Rural,US/Eastern,Immunologist,0.0,60,11,Retired,44142,Separated,M,Yes,10.0,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,36,203.07,882,2,2,4,3,3,4,3,3
