CaseOrder,churn,email,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,internet_service_DSL,internet_service_Fiber Optic,contract_One year
1,0,10,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1
2,1,12,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
3,0,9,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0
4,0,15,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
5,1,16,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
6,0,15,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1
7,1,10,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0
8,1,16,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
9,0,20,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0
10,0,18,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
11,0,9,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
12,0,17,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
13,0,9,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
14,0,14,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
15,1,10,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
16,1,13,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
17,1,13,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0
18,1,16,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
19,0,11,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0
20,1,10,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
21,0,14,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0
22,0,18,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
23,0,16,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
24,0,9,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
25,1,15,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
26,1,12,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
27,1,15,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
28,1,12,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
29,1,13,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
30,1,18,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0
31,0,14,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0
32,0,13,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
33,1,9,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0
34,1,8,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
35,1,15,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1
36,1,11,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0
37,1,16,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0
38,0,9,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1
39,0,12,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
