CaseOrder,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,internet_service_DSL,internet_service_Fiber Optic,const
353,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1
6263,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1
2810,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
1776,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1
8503,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1
2260,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1
2364,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1
2907,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
6428,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
6413,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
7896,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1
8137,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1
4619,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
2367,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1
5390,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
2568,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1
2777,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1
3114,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1
9267,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
3545,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1
7622,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1
7099,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
7749,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1
6221,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1
9254,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1
3334,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2688,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
1342,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
3424,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
694,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1
9437,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1
6560,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1
7628,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1
2933,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
1037,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
2676,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1
468,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
1041,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1
2434,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1
7307,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
5759,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
6915,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
4732,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1
5838,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
8678,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1
8214,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6041,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
2062,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
8494,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1
6508,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1
6209,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
6091,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
583,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1
3077,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
9249,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
6140,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
534,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
3965,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
3027,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
7313,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1
7969,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
2480,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1
7748,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1
618,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1
3984,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1
3156,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
408,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
7824,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
5714,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
4919,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1
4618,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
4053,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1
4376,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
4804,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1
5202,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1
6709,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
2992,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
1735,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1
