children,age,online_security,tenure,monthly_charge,bandwidth_gb_year
0,68,1,6.795512947,172.455519,904.5361102
1,27,1,1.156680997,242.632554,800.9827661
4,50,0,15.75414408,159.947583,2054.706961
1,48,1,17.08722662,119.95684,2164.579412
0,83,0,1.670971726,149.948316,271.4934362
3,83,1,7.000993555,185.007692,1039.357983
0,79,0,13.23677381,200.118516,1907.242972
2,30,0,4.26425515,114.950905,979.6127078
2,49,1,8.220686373,117.468591,1312.874964
1,86,1,3.422086139,162.482694,508.7637913
7,23,1,19.26726194,174.958118,2728.767869
2,56,0,10.52199781,149.962093,1180.588788
0,83,0,13.01149229,137.439154,1196.388018
5,29,1,16.87922024,184.971516,1948.694497
1,30,0,10.06019902,159.965581,1582.295235
3,39,1,13.87001293,177.65076,1840.014467
0,63,0,15.78214958,194.966286,2070.376729
2,60,1,2.303331273,202.682861,882.0985933
3,61,0,17.10995632,152.490739,1833.0967
3,23,0,12.80615845,149.944668,1954.080809
4,38,1,20.45390977,184.978458,2330.319383
3,30,1,2.415991977,127.495766,594.1054279
3,52,0,6.652298992,124.964303,713.0633088
2,68,0,8.543717478,149.948316,945.3802928
3,75,1,5.770390256,162.511928,870.76398
1,77,0,4.157658837,92.455141,774.2937069
1,47,1,10.40566091,222.649979,1506.446527
0,70,0,1.392421597,139.981577,419.0508708
3,20,0,1.430386349,200.132293,1259.415493
4,69,1,5.425864884,257.651257,1745.125956
9,45,0,11.08287797,230.105118,1795.465729
0,40,0,3.586184954,147.489301,492.4771472
6,82,0,4.727388465,230.105118,1013.993166
5,74,1,20.89923386,174.958118,2680.762173
4,69,1,3.471329958,267.664655,1081.814362
1,52,1,5.478588204,162.483267,1209.961168
2,26,1,3.312991809,229.993134,897.5919144
1,25,1,7.161561527,140.00128,1340.930156
1,66,1,9.847563364,184.964681,1113.993679
1,72,0,16.04202196,147.473844,1530.10769
3,21,0,9.179779682,172.457857,1310.137419
3,55,1,3.002844144,107.481989,892.8964931
4,41,1,3.924254455,255.141716,1125.581944
4,32,0,18.55959629,192.456745,2016.710031
0,22,1,8.798394712,242.632554,1412.736809
2,44,1,10.377366,245.174977,1710.689671
2,23,1,22.25746016,184.964681,2384.885909
3,43,1,9.427146079,195.006206,1213.940165
1,86,0,7.760290062,104.962874,740.010722
2,84,0,11.56938439,92.488023,897.9716153
2,62,0,3.343811019,184.979684,1026.387172
5,68,0,7.338869531,187.656013,1234.244324
1,59,0,5.486534225,149.962093,727.3731845
0,31,0,1.55278221,169.944668,452.8721504
0,51,1,12.07970325,160.00128,1296.674543
1,58,0,13.98666226,129.962093,1840.628269
1,73,0,9.563362997,114.950905,1324.330108
1,33,1,6.732948946,142.515576,958.1397059
1,58,0,15.72071086,220.14775,1868.864027
0,49,0,7.233605493,124.97808,676.712908
1,26,1,2.871017037,164.964681,1086.990308
1,25,0,2.344875382,194.976769,704.7540406
0,42,1,7.960490246,152.455519,1416.444695
1,81,0,12.25062113,92.5018,1095.950634
1,43,0,9.634946079,127.488728,1083.610268
2,63,0,7.916533093,184.963371,1570.641337
3,70,0,4.471254161,265.146969,1007.425553
1,78,0,10.79028074,207.609354,1323.028419
0,48,1,12.24190682,152.462354,1808.730555
1,63,0,2.203859443,200.132293,1120.241472
4,60,1,23.92132231,212.655686,2676.789803
0,87,0,3.7311787,255.119794,1268.086909
3,54,0,7.980015371,134.950905,822.6771666
3,35,0,9.190009376,255.137219,1577.915603
1,70,0,2.378630018,214.966286,648.7471776
2,67,1,5.43464555,270.160419,1648.102673
4,46,0,1.092361222,200.165175,768.0874545
1,50,0,20.13981517,149.937833,2426.030626
1,24,0,24.64873861,240.114868,2660.503932
0,20,1,9.677739656,127.495766,1129.549713
1,29,0,9.82814183,187.609354,1771.286466
0,31,0,7.832238337,169.992756,943.3391244
5,72,0,19.45250317,192.456745,1907.226083
4,71,1,14.34766616,120.004928,1885.939118
2,32,1,2.257358355,195.006206,631.7435653
0,33,1,2.358129018,139.95684,562.6095219
3,67,0,4.650578623,114.983787,593.8572264
0,66,0,3.721772616,207.638588,777.3060718
4,21,0,3.76663012,187.609354,1393.202392
0,61,0,4.151256695,134.950905,393.6524652
0,75,0,2.188918771,192.470522,409.7486664
0,63,0,13.85488928,222.628057,2138.107161
0,68,1,3.273341151,162.468917,443.984031
2,32,0,19.75096265,159.979358,2481.385603
