CaseOrder,children,age,online_security,monthly_charge,bandwidth_gb_year
9255,3,75,0,149.9378,6417.345247
1562,3,44,1,257.651257,2113.787891
1671,3,43,1,175.004777,1593.466069
6088,2,75,0,152.4441,5615.851877
6670,0,26,1,184.961,5566.092166
5934,0,57,1,194.9581,4724.802444
8830,1,54,0,92.48802,4930.445331
7946,3,59,1,162.4653,4794.505137
3509,0,81,0,169.9928,808.4971819
2003,0,39,1,139.9568,1392.096076
5867,0,54,0,179.9794,4851.255631
169,3,58,0,137.469817,1623.045026
2589,1,34,0,124.9781,2354.102724
5906,0,26,0,159.9794,4697.773285
9530,3,52,0,127.4586,6136.653635
6385,1,81,0,210.1518,4878.104493
7825,2,25,0,149.9621,5214.115508
9780,1,32,0,162.4713,4232.407012
4630,8,36,0,179.9476,1786.342426
8561,2,87,0,162.4608,5934.141788
9292,4,47,0,144.9607,5837.262258
6875,3,35,0,182.4538,5346.463188
6522,5,40,1,137.4686,3860.25038
8980,0,24,0,129.9621,6184.758563
6648,0,70,0,149.9928,5360.153324
9826,2,66,1,129.9598,4815.694058
211,5,66,0,137.439154,710.7541633
5279,0,86,0,167.4564,5175.585295
1920,0,30,0,172.470522,1851.152977
719,2,76,0,204.949594,1114.13669
4869,0,86,1,142.5007,733.0142637
7835,1,52,0,232.6378,5940.651428
1299,10,28,1,142.452604,2138.553831
9194,0,85,0,210.138,6071.79498
4618,1,59,0,172.4441,483.0491679
3129,1,53,0,222.6143,1494.533376
9796,0,46,1,172.4555,4193.703815
3980,1,80,0,127.4421,1306.270891
9925,3,23,0,220.1615,6335.700634
8318,2,89,0,262.6106,4222.497317
4394,2,25,1,235.1591,2458.677481
1288,1,55,0,137.461553,358.4232611
4356,1,27,1,222.65,2217.378277
7014,2,28,0,217.4725,5210.243584
3886,1,19,1,204.961,1555.075783
5750,2,76,0,152.4907,3992.718989
9170,1,61,0,139.965,6619.456202
2408,0,30,1,162.4818,2000.801151
2014,8,46,0,169.9378,843.4262718
5154,4,40,1,184.9785,6192.288655
8552,9,43,0,147.4564,6530.78052
4377,0,42,1,197.4702,1390.143881
8823,2,79,1,222.6792,6522.842043
4274,2,37,0,182.4433,1479.383716
5826,4,29,0,139.9349,5698.426541
6700,1,76,0,204.9634,5687.504971
7244,0,76,1,119.9897,4249.059682
450,2,83,0,169.992756,250.9270047
2228,4,33,1,242.6326,1620.308367
5757,3,69,0,129.9483,4526.335532
811,1,49,0,182.460772,1048.128938
4181,3,79,0,222.6281,2102.1428
9001,1,76,0,157.4836,5780.643396
5439,1,41,0,172.4404,6503.984053
7534,3,58,0,114.9658,4645.007236
6370,1,86,0,127.475,3866.67814
8417,3,87,1,154.9919,5567.462774
1478,0,38,0,127.506726,411.2961627
1791,1,70,0,207.638588,1044.435554
2009,3,28,1,177.4945,1683.821351
683,2,42,0,129.962093,2283.692222
2817,3,27,0,172.4733,702.1831409
9432,0,84,1,119.9568,3961.965984
3775,0,51,0,222.6281,1385.346757
6496,1,66,1,232.6228,6372.288678
8879,5,43,1,127.4783,6165.048793
7362,3,65,1,117.4835,5552.848067
8367,0,54,1,182.4833,3871.367991
7475,2,19,0,149.9621,5772.353993
47,2,23,1,184.964681,2384.885909
31,9,45,0,230.105118,1795.465729
8251,0,38,0,169.9378,5503.629445
6936,0,54,0,139.9512,5813.064092
1469,9,33,1,142.515576,1729.34277
1666,2,49,0,242.61428,1890.640168
1417,2,69,0,184.979684,2543.181756
6481,3,85,1,164.9647,4384.720336
4853,1,29,0,139.965,1220.191739
2471,1,56,0,137.4684,1819.57724
4374,6,38,0,112.4844,1077.237101
8525,2,49,0,230.1344,5277.646823
430,4,48,0,105.010962,1568.47416
5245,0,53,0,210.1051,4019.898568
2120,4,67,1,242.6326,1838.646452
386,2,62,0,92.455141,1866.966586
1946,0,70,0,127.506726,296.9963678
4225,3,33,1,174.991,1806.936325
474,2,28,0,159.965008,1118.646915
2130,3,44,0,192.4404,1452.597026
6557,3,59,0,210.1518,6473.783327
6999,2,48,1,144.9889,6677.35743
1056,0,85,0,232.641455,1141.532192
3275,0,38,1,187.4974,1117.725477
4962,0,46,1,149.9741,1193.11856
5364,1,32,0,222.6609,4756.00161
5817,1,75,0,252.624,4968.719293
812,1,45,0,127.458638,2678.418264
4574,6,20,0,169.9447,1296.081512
6138,1,34,0,235.1372,6396.483969
2389,1,58,1,107.482,1262.469988
9649,1,45,0,169.9378,3693.943211
6226,0,85,1,210.127,6179.8226
112,1,48,0,192.470522,888.6517305
8910,0,53,0,142.4713,4254.251624
1746,5,33,0,204.963371,2729.316361
7852,0,37,0,227.4754,5748.202465
1453,3,77,1,120.003499,942.2015895
320,1,72,1,210.156274,886.340074
8594,0,40,0,275.1336,5429.870356
3334,1,74,0,124.9935,646.8507919
1923,2,56,0,232.637807,2138.661668
5866,2,43,0,152.4441,6294.425576
9529,5,85,1,277.6513,5931.842515
3686,4,71,0,182.4608,2068.674053
4276,1,86,0,157.4698,502.9172945
4890,1,87,1,152.4624,850.0650584
5226,0,32,0,152.4579,5879.484066
7473,4,38,1,149.989,4391.256935
3606,0,74,0,137.4392,270.9293518
1053,3,73,1,270.160419,1808.366194
4157,0,69,1,140.0013,1060.698386
9677,9,30,0,127.475,5851.532323
100,0,20,0,182.467607,1067.373076
7509,0,71,1,117.5152,6015.340909
1457,1,78,0,127.473844,1696.133718
7689,1,58,1,164.9785,5274.06662
4005,0,71,1,172.4624,410.7935286
6867,2,81,1,152.4798,5730.023775
4510,1,34,0,139.9349,1137.986536
3300,0,88,1,140.0342,1452.568552
3800,2,41,1,169.9741,1194.501468
4282,1,33,0,114.9658,594.5452132
9052,1,56,0,214.9525,5957.424012
6463,2,46,0,92.45514,5681.838688
7913,4,51,0,124.9935,4361.159098
1415,0,53,0,149.992756,875.8840004
541,0,77,0,179.947583,369.7619068
5816,1,84,1,117.5152,4181.676431
8200,1,25,0,252.6378,4993.106421
3681,3,75,0,210.1518,1803.186158
755,3,84,1,245.145743,1207.841461
4197,3,61,0,240.1149,1954.817992
2651,0,59,0,134.9509,296.7260391
4523,2,62,0,214.9663,1274.789671
9520,2,67,0,162.4713,5507.943409
3119,1,43,0,172.4579,1373.225547
3729,1,55,0,112.4551,426.4255699
3887,6,74,0,204.9634,1026.361306
