CaseOrder,tenure
9255,70.10448
1562,9.300517617
1671,11.72200614
6088,60.20473
6670,56.08175
5934,52.66447
8830,58.95425
7946,48.00544
3509,8.187262
2003,13.29584
5867,55.3519
169,12.07358377
2589,25.72493
5906,48.31617
9530,70.36396
6385,52.68582
7825,58.50824
9780,46.55588
4630,15.46234
8561,64.02401
9292,68.79305
6875,59.6819
6522,42.82228
8980,65.44503
6648,59.25503
9826,50.8022
211,4.525864256
5279,61.62973
1920,11.92905011
719,9.472450618
4869,2.237136
7835,59.14141
1299,12.01513041
9194,68.77621
4618,1.76975
3129,6.21102
9796,46.05744
3980,9.8256
9925,67.09737
8318,44.21572
4394,21.19498
1288,1.156719701
4356,17.7076
7014,56.50306
3886,12.5247
5750,43.86844
9170,71.86603
2408,17.76511
2014,3.081551
5154,68.6711
8552,68.02064
4377,6.708628
8823,71.07998
4274,7.816831
5826,58.09895
6700,64.67686
7244,49.01677
450,1.715329149
2228,10.269
5757,47.43916
811,8.294910436
4181,12.3548
9001,69.35043
5439,68.65945
7534,52.98326
6370,46.30752
8417,58.34548
1478,1.350108155
1791,6.766267697
2009,7.698157
683,17.80378998
2817,2.108436
9432,40.8394
3775,3.613493
6496,70.44254
8879,65.28923
7362,63.42517
8367,43.46156
7475,64.50684
47,22.25746016
31,11.08287797
8251,63.64621
6936,64.11078
1469,12.13508874
1666,14.98166868
1417,21.13118502
6481,44.72714
4853,5.695207
2471,18.8572
4374,8.584144
8525,55.49261
430,16.52138638
5245,37.45999
2120,14.29414
386,17.52138221
1946,1.235589507
4225,14.91353
474,9.086633107
2130,11.4255
6557,70.52836
6999,70.69523
1056,8.713385365
3275,2.327566
4962,5.461422
5364,49.18219
5817,54.23273
812,29.10639477
4574,8.574964
6138,63.66258
2389,9.388962
9649,40.46026
6226,70.37667
112,6.577552683
8910,43.5663
1746,24.77634001
7852,64.62103
1453,6.585140105
320,3.999030359
8594,56.70254
3334,7.602068
1923,12.52485764
5866,67.20585
9529,61.83307
3686,20.5032
4276,5.321365
4890,1.726822
5226,60.89236
7473,46.91449
3606,2.407697
1053,7.25493599
4157,5.877819
9677,64.28075
100,6.998814446
7509,71.20362
1457,14.26615817
7689,54.26571
4005,2.198687
6867,65.55327
4510,4.343093
3300,16.41429
3800,9.573255
4282,3.30098
9052,68.59815
6463,62.43504
7913,49.88118
1415,3.847102787
541,1.815836226
5816,47.96511
8200,52.11755
3681,13.59261
755,6.343374736
4197,16.19111
2651,2.888303
4523,10.32752
9520,63.72204
3119,11.00718
3729,4.078283
3887,5.257695
7108,59.97805
8069,53.32394
7326,61.37365
8484,37.04844
8768,69.59341
6501,62.19865
8427,48.76309
7964,58.58252
602,2.437089876
9250,66.50393
8920,65.32158
6815,64.42046
5412,61.72165
8748,56.19138
5523,67.11808
1045,14.5875554
7335,70.32404
1558,10.12123118
3740,1.481306
3523,3.662342
181,15.64596698
2116,8.944195
1700,15.02077659
1380,14.23594392
7230,54.38925
9144,64.49513
619,2.981008475
3182,20.3759
9852,58.40532
1601,14.87053577
5964,70.35146
1616,7.336939062
5921,61.10961
9592,50.09713
3892,8.752114
2084,2.958575
4575,31.79027
5595,62.79035
5122,62.76356
4588,3.080084
4903,9.648973
8253,48.56433
5917,44.47594
5130,67.18331
8335,63.3194
1919,15.54170472
8331,55.83128
5708,56.31481
5385,55.75053
6337,63.1308
2055,2.654262
7613,51.40304
9210,64.17032
3964,7.890442
1127,9.510993751
3429,4.741795
4602,8.093081
3722,7.735821
2390,2.061636
1323,2.849622074
1604,2.731606393
7225,50.34057
7426,66.31705
4337,21.42226
5594,65.49323
4412,4.055418
5859,69.29855
9344,71.46108
3992,1.399445
6080,56.24027
1560,8.249941923
4683,7.820202
7558,58.31897
3773,6.864699
8780,58.96403
3458,11.84721
8384,65.24225
1355,4.860645308
46,10.377366
9873,58.8745
749,3.736763788
7918,68.82747
4242,4.816947
5629,56.20378
4658,7.019257
4239,10.99657
3461,14.12424
7382,70.23581
5550,47.4558
7076,59.11522
5839,50.46018
8092,64.87596
5475,66.10268
3615,1.364515
7502,65.27324
7054,71.61852
7368,58.80144
8020,58.3401
9639,68.37019
9056,69.44118
665,11.34954445
2320,6.137692
3543,13.25623
3678,16.15713
9600,48.06765
3092,16.88185
676,9.85591776
8677,49.11678
4885,17.58224
8080,71.51635
1963,9.878308737
1841,5.755833887
7169,58.99154
9899,58.77002
3539,19.70229
8027,54.51932
4867,1.74299
4175,2.395742
8089,47.94936
4378,10.28653
6212,63.97947
4767,4.370713
412,10.27819073
614,2.62036784
6127,56.736
5211,47.20955
1431,10.27733324
2426,14.10183
8842,58.57249
3834,7.413447
4719,2.246214
7186,68.7146
1418,23.44153546
7200,49.74162
605,14.46037646
1273,15.71358455
3965,15.68627
6368,53.4946
8747,54.09544
248,12.73622643
9227,59.52044
1983,24.77325806
2836,12.57563
5376,67.77122
200,2.905283283
486,2.206152519
6084,40.77723
8957,61.17571
456,4.991605214
9799,65.0829
8827,60.31971
6516,57.48138
1722,1.789830613
7051,68.6663
6383,44.58913
8166,70.38624
5768,61.74103
5810,70.31022
4627,10.52104
863,2.010353461
2095,7.809364
948,1.047382039
5642,61.0911
1445,7.349883172
1281,20.83084927
3111,2.320115
8953,67.93803
7610,67.62049
5136,64.1621
3017,6.971589
2303,2.65459
2005,7.976237
4581,10.83268
8705,62.90882
1006,13.3771743
5139,60.93197
4318,11.12611
6559,53.77815
4388,21.50913
2133,1.75453
4266,13.92306
2058,31.32024
5387,58.86685
230,12.02106494
2890,14.34935
4473,11.42705
6065,51.0221
7925,48.79391
7650,58.76049
8382,69.24438
210,11.96274778
2759,5.679237
8472,52.9247
2949,8.681614
7117,46.88518
6331,57.29968
1729,24.3036064
4177,9.102322
338,1.14113241
4985,9.309073
6879,69.38285
7249,53.9154
8453,68.41538
1227,6.832965812
7609,68.14733
6828,47.42715
3541,10.06945
5869,64.11549
2112,6.23273
2692,17.27999
7154,68.62845
3708,11.21368
1018,9.907505405
8512,70.50947
2808,3.890319
5016,63.14574
1929,20.00794461
351,5.397827503
5174,59.29981
4193,4.109741
1935,15.21980082
6902,43.55176
4824,4.054345
565,1.375013189
1583,12.68609343
4695,8.390283
2176,30.7698
7029,53.90195
4881,6.398242
2229,9.526371
1116,17.56356483
3127,4.606587
3545,10.6052
5049,65.4294
7477,67.97118
822,24.19132114
6533,69.91537
2273,6.403857
5546,44.81075
82,7.832238337
1324,12.61694943
9406,60.54294
1615,9.217596711
832,1.440416687
3884,4.570915
8642,47.62011
4465,10.4983
5340,38.85837
8067,60.49154
1650,5.045543619
4066,20.84965
9666,61.41519
3039,14.83659
3321,14.65682
7144,71.31402
6890,53.84369
5093,52.76082
3721,5.315954
2424,6.617173
750,22.39935475
5272,67.33169
2374,8.882682
4694,2.856149
9880,60.24089
8371,66.2073
7320,66.31286
4369,7.649477
6786,67.53496
7402,63.60301
1140,4.153793775
7632,65.36086
2232,13.85765
2165,7.890163
5218,71.03326
9445,36.05704
9238,66.68688
4562,11.76248
1571,7.897660605
173,19.48900163
7164,66.67798
2088,9.832835
4668,18.98342
4566,6.564797
7090,67.07059
6570,67.76235
4784,7.03957
2685,5.614074
1833,13.22141934
8547,71.3386
5066,61.32409
9131,44.83431
9356,62.09703
4413,13.00557
7208,48.56111
9891,60.5753
835,6.28842083
6822,57.18462
3782,5.306649
9013,57.44563
7500,57.48285
3425,9.39804
66,7.916533093
2964,5.966695
5670,45.59475
8963,58.82987
355,14.12966281
8172,40.73541
4031,1.115115
8535,67.25716
3652,7.934658
6740,58.75091
3298,3.088732
4128,4.245048
8044,66.57411
4768,2.006646
473,4.135515169
3762,12.80172
8618,57.3396
3567,19.95038
2761,10.68972
869,8.791194482
9383,64.81224
8689,66.27257
4053,13.48223
6131,62.6686
3245,6.645392
4843,4.820891
9331,53.81991
5641,69.32327
5781,57.67289
8541,68.34963
1076,3.218751358
2958,7.773669
6753,56.43742
8658,71.84893
7273,67.66242
4760,3.199579
4863,7.761878
7026,69.70806
7648,41.74273
7162,40.62433
74,9.190009376
4902,2.696846
4376,9.51775
6699,65.16939
9806,64.15677
1102,8.279774899
9538,58.87396
7656,58.40109
5236,71.52864
5166,71.17531
119,7.120096363
2023,7.387825
9886,63.17583
2639,1.73409
2035,7.376158
2565,5.014012
8666,54.42917
3544,13.08183
1220,23.32691904
9715,62.16781
6712,58.5543
2904,7.467093
3027,20.95648
2511,8.386909
4202,7.874401
3208,6.678303
4490,2.147261
2756,8.612474
8890,46.75485
178,3.701557118
1644,12.30462572
9293,69.71137
3519,8.346499
1375,23.05042619
1721,8.133269102
3996,18.1201
3689,8.116071
2265,4.719731
88,3.721772616
2849,8.306218
8688,49.71999
404,3.084376591
9901,50.88709
4078,1.426775
6836,64.92993
6538,47.1164
2457,1.293544
2752,8.27839
2215,6.280617
1028,4.303849456
9704,67.94252
1422,3.295993837
2437,1.932155
4278,3.606976
9610,54.12547
1279,9.983052758
6221,55.17028
4908,20.52701
5065,69.2139
1979,16.01233793
1062,4.056889119
5015,71.66705
4536,18.07558
6994,69.39989
9254,65.85662
1503,11.71980152
8569,43.73697
9315,59.17567
8837,58.73457
8921,70.66533
4919,10.15306
679,6.999864982
5077,56.35343
8065,40.82315
7569,52.75072
103,2.542296644
958,16.66213522
8557,66.74968
3786,1.124104
9631,64.00501
7174,62.06064
4044,15.09343
2649,3.533323
6001,44.09777
7928,66.8616
2827,10.93329
4095,5.951276
7775,57.33546
9259,64.57131
8114,60.1541
4773,7.354812
1948,21.6132385
6110,64.61204
2300,7.409149
7845,51.54301
4383,18.32428
5426,65.52605
6772,64.81364
8579,66.82313
4292,6.602711
529,1.781895205
1234,7.629943705
780,8.908332009
5860,47.78655
3060,7.032433
8588,71.59338
1861,1.747076331
8439,42.93116
7404,57.08875
4640,3.171487
4251,4.082591
1993,21.67433467
7380,51.83423
7306,57.86878
5304,69.49722
8193,69.40052
7448,62.07668
2472,10.08697
7198,47.77726
5313,52.61696
9036,65.90788
1397,17.88183906
4003,11.40214
5372,47.99369
3236,4.14274
1043,15.1418246
3299,2.645653
7257,64.52906
258,2.416685985
7287,46.21777
8617,67.87061
7817,49.75092
5844,57.17893
2090,4.791566
7703,61.00511
504,4.806882153
5266,70.20999
8815,47.67256
1346,4.248159714
8456,67.39064
5047,56.3686
2249,2.548892
4982,9.836442
373,22.33583015
8455,59.64391
3371,9.060745
2007,5.982479
3657,8.161101
8328,56.67924
7522,70.15014
4002,7.038169
6073,66.34669
8737,67.78399
998,9.618627021
8180,64.49464
3291,6.207517
1177,6.339408608
552,7.793733508
745,12.11795763
7224,63.39679
4555,3.246478
2860,4.300397
8821,62.78883
3460,7.732188
2725,1.796113
6848,65.0113
7616,57.63584
7548,54.94221
9175,63.71215
6394,64.48925
5359,61.04844
9489,58.86292
2969,4.367739
694,11.90088632
2534,9.24589
6400,51.45585
983,1.796688583
5365,69.01301
80,9.677739656
4054,8.635904
6259,67.37641
9577,61.50205
9026,70.40902
3108,7.53282
3602,7.431055
6074,40.94814
8127,61.60969
2143,4.044068
6311,63.87447
2269,16.30451
446,10.8600084
4884,3.4187
4467,9.894265
9027,59.48026
6633,55.59681
3317,4.656535
1702,4.759938908
2527,2.589165
69,12.24190682
1169,6.133827574
49,7.760290062
1054,5.898536601
4030,1.616979
881,5.803901847
2652,6.307859
7760,48.89289
2440,6.446079
4925,7.704074
1468,2.698284625
7293,52.53762
5036,71.106
2442,6.582225
6555,52.5986
231,5.049303717
1321,5.7018635
42,3.002844144
778,3.189179387
8951,61.17556
8405,43.69919
1730,6.027648047
3911,8.813715
580,5.884557067
9942,71.67689
5840,62.18037
8272,69.7211
7276,63.23545
1492,3.468872554
9110,56.19141
5611,58.54353
62,2.344875382
5472,57.81554
3906,15.88445
6532,37.5471
403,1.379696124
333,2.423722078
2085,9.955486
9558,60.46744
165,16.00330155
4380,6.574699
2716,25.68869
8924,58.36296
7347,64.00973
5454,38.28807
7047,60.2958
1335,4.777862937
8699,70.22382
1660,11.06628519
3579,8.443528
754,11.14672304
6585,64.395
707,13.57977305
3015,8.58684
8559,48.4017
9876,60.12009
9583,39.23379
8929,71.58757
9557,67.26145
8984,50.55291
1835,3.787548072
2997,2.1782
5428,66.9628
3880,9.213435
7157,71.35208
5082,57.04429
9115,48.22395
7245,68.26818
5401,63.76818
5396,52.20263
9428,58.91402
2247,7.533801
836,1.532973151
8395,38.92029
9043,70.49752
433,2.644787483
3379,14.77367
6818,52.86347
8132,67.99043
9622,56.16716
6067,71.7248
1194,2.5238884
6935,65.86739
5462,58.23726
3072,4.454344
3045,8.794478
3264,1.532436
2730,5.294527
3434,15.56801
434,2.522962069
3273,1.524132
7002,68.63397
9727,66.42406
105,22.79214163
3316,7.146126
1657,1.849371568
1534,14.92730216
4681,6.588658
8814,57.60401
9003,62.13371
6623,65.62722
1444,7.840871292
215,15.85002222
5357,52.83276
9219,71.59806
6323,67.09561
4990,6.984409
1420,8.085917091
9517,47.79913
8607,49.98309
182,23.00764441
4353,6.106821
8701,71.85451
2447,2.077466
5322,67.78257
8046,62.08636
5685,67.72122
3533,5.186633
8245,70.89738
7977,58.69071
3699,22.52336
71,23.92132231
545,7.073151031
1205,9.028422616
3079,17.2154
9107,67.97714
9121,60.23312
9681,52.20612
6181,62.83833
8330,53.47075
4285,10.15451
4008,2.438513
8714,58.46541
878,13.76871228
8061,58.52641
197,15.87685513
9747,59.64017
4011,4.541407
9963,56.40424
2572,1.798433
3754,7.646165
9248,66.11418
8629,59.33067
9369,71.96367
6160,55.66796
4792,4.320048
5338,66.59235
3025,7.342789
2719,1.13143
8656,48.45122
6917,60.06802
3985,3.199643
7309,61.30659
5954,56.53361
3845,2.93932
2683,7.238006
4025,15.19686
8716,69.35321
3140,2.518069
4238,4.098818
219,21.29342532
6619,63.9916
9607,71.53575
5269,50.49072
2544,4.044209
2871,3.612294
1245,8.550692097
421,17.22220989
6228,67.13541
2059,21.03542
8494,61.84543
6435,65.62921
3423,8.016341
4511,7.470963
1167,17.39605821
255,9.740709475
416,5.2551003
9176,62.77605
3470,27.12312
3051,21.13934
760,6.248150471
1386,10.55675189
655,2.451160296
1202,1.43538042
2414,13.87203
5580,66.00861
5994,67.18986
5295,66.91884
3056,6.967998
2831,4.612442
2971,6.842584
329,21.08265979
4271,15.98922
5995,62.27397
4393,4.225661
2064,10.32943
8302,71.92785
9014,68.7816
9330,66.79288
5170,69.17356
4430,5.147213
1282,1.225588884
3382,23.91177
2637,16.12971
3329,7.131841
6437,70.04547
5019,67.15579
7325,52.09557
3796,17.05378
2664,4.469398
8283,52.58546
1283,10.44973947
4149,2.647286
1363,20.96092159
1438,16.48377098
9629,66.62855
3442,5.358251
57,9.563362997
4598,2.507107
8480,71.99132
5366,45.92294
1845,9.858971643
5516,52.03938
8574,48.78507
6264,47.56406
2881,2.984004
1744,13.82541752
8399,64.33856
4170,10.91791
5198,54.83336
8994,71.12545
741,2.282601557
9067,65.33881
1625,11.71117991
525,1.502124145
8000,66.21743
4420,3.318059
5427,61.96091
6690,62.78784
7383,54.28465
436,11.50651216
2961,10.41798
309,4.355064781
1566,8.245809832
2632,1.84687
5598,48.29494
9478,61.54459
402,1.28507969
3827,17.78769
882,5.295927221
3998,5.018901
7119,63.6037
3266,8.640886
8407,36.98095
5010,70.19733
5737,62.15286
5555,48.35393
289,1.473304337
5565,56.09481
8325,61.69408
2624,30.82191
8860,65.16987
477,13.82188875
8592,70.14609
9714,63.18627
6523,64.99919
3112,15.41267
9471,49.61816
738,6.051428262
3134,6.631092
8048,66.49538
6552,56.04565
5408,46.40554
5564,69.05558
5329,54.3819
6719,48.84202
5119,42.36211
4620,12.22703
3690,7.490867
7717,66.20027
1840,18.29765062
1996,5.794641025
2400,15.07508
6511,54.61729
9357,63.29972
4120,6.580765
5895,66.94288
801,8.063547235
8424,64.48611
7681,69.97649
1406,2.288223389
5432,57.31946
70,2.203859443
9544,56.8243
2760,1.050155
8295,55.71809
1587,2.593102097
6667,50.63449
8015,40.80483
1075,4.898445616
3064,2.437932
6488,55.09779
4706,7.766899
9070,66.00877
2604,1.506136
7739,51.11345
1580,1.760409672
5059,71.66261
5754,59.71663
3549,7.138798
410,8.69085131
4098,18.44164
6462,62.12094
5602,60.99804
5232,60.16962
3778,14.1842
2727,10.22422
478,2.598489694
1330,9.339307484
4036,20.21413
9643,70.30088
1778,4.576705489
6097,62.46678
752,7.677648117
5793,68.01745
4061,11.69113
9042,68.75872
6031,69.02601
5899,61.2541
9339,53.54212
9161,39.72823
9997,61.04037
5152,52.61686
469,20.04140358
1546,1.665089598
6312,60.72645
2684,5.449246
8967,57.71425
6182,58.52876
1026,18.29391747
5113,47.96609
8563,62.77262
5369,43.80971
2355,3.437502
7279,67.31311
3603,10.56737
774,3.990895779
6774,66.2177
8810,48.27562
3383,2.644504
642,4.241019424
4234,3.761516
3816,7.232429
4105,15.15905
9926,37.8337
1109,1.763317472
3528,4.380312
3496,1.253929
1421,6.086525665
6924,68.1253
3882,7.097053
8354,48.03223
6246,66.85047
4939,11.7516
6799,54.47785
7813,61.91437
1681,12.95969924
6716,61.51143
634,14.28414317
2570,3.765838
7360,68.08474
2167,1.650984
8170,56.36817
8846,53.60305
2826,5.389466
4088,9.112126
6244,71.61196
8365,63.59872
3942,23.49138
9180,56.92191
8076,60.57969
9196,55.27092
4129,8.894523
1173,6.126946607
8669,69.22974
4223,4.192662
4835,3.305552
2577,6.960522
1990,1.722680046
6974,57.94661
5837,69.97238
4533,10.65198
3210,2.54348
3856,10.45843
2629,9.38517
7804,64.38615
1411,2.988653862
8258,61.4943
7387,53.90815
4304,2.865504
6751,71.12356
6556,70.95714
816,9.44860885
2405,13.67733
5398,71.45086
9957,58.40629
2132,3.543665
1798,16.11472911
3091,4.24454
4185,6.311363
4565,3.896108
5031,42.19555
8049,56.53633
123,10.04672315
180,5.522376826
9251,62.67099
8096,48.87162
6430,47.47601
9738,63.56661
4993,8.268405
1158,8.098851806
9004,59.6293
1533,10.54165852
8993,54.28874
7860,41.3275
9111,55.44991
1536,4.071312509
9260,52.69603
5518,57.49209
2606,4.148103
6128,43.51717
9142,66.80646
7459,61.46682
2178,6.739405
7991,51.19372
2352,2.763224
9178,49.19446
3503,11.21716
2135,9.637159
1481,3.784962992
2794,5.705638
4844,16.57839
9781,64.67959
9935,61.85574
4763,5.506063
7192,48.15455
6042,41.60875
9637,70.61283
3446,4.762508
8150,70.66353
7766,61.49459
3621,5.638782
1953,21.1307851
556,7.604093453
