married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dependent,dataset
No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Autopay,7.0,172.46,No,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,1.0,242.63,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Autopay,16.0,159.95,Yes,WGU Telecom Co.
Yes,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Check,17.0,119.96,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Check,2.0,149.95,No,WGU Telecom Co.
No,Female,No,One year,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,eCheck,7.0,185.01,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,13.0,200.12,No,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,Yes,Check,4.0,114.95,Yes,WGU Telecom Co.
No,Nonbinary,No,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Autopay,8.0,117.47,Yes,WGU Telecom Co.
Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,3.0,162.48,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Check,19.0,174.96,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,eCheck,11.0,149.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,13.0,137.44,No,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Autopay,17.0,184.97,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Autopay,10.0,159.97,Yes,WGU Telecom Co.
No,Male,Yes,One year,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,eCheck,14.0,177.65,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,16.0,194.97,No,WGU Telecom Co.
No,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,2.0,202.68,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,17.0,152.49,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,13.0,149.94,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,20.0,184.98,Yes,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,2.0,127.5,Yes,WGU Telecom Co.
